OID_,POINT_X,POINT_Y,Profile_ID,Distance (m),Distance (km),ORIG_SEQ,B2,B3,B4,Benthos,Benthos _label,Bathymetrey 
209,269101.5613,6131766.548,3,2090,2.09,209,226.3468475,251.6145477,47.9489174,1,Seagrass,-8.21
210,269091.9195,6131763.895,3,2100,2.1,210,243.3505707,268.2733459,49.4375191,1,Seagrass,-8.21
211,269082.2777,6131761.243,3,2110,2.11,211,240.6092224,261.5283203,49.3629532,1,Seagrass,-8.21
212,269072.6359,6131758.59,3,2120,2.12,212,234.802475,270.6846313,48,1,Seagrass,-8.21
213,269062.9941,6131755.938,3,2130,2.13,213,235.6177063,249.3778076,49.7300644,1,Seagrass,-8.21
214,269053.3522,6131753.285,3,2140,2.14,214,217.3856354,244.4682159,56.9684906,1,Seagrass,-8.21
215,269043.7104,6131750.633,3,2150,2.15,215,208.2462463,229.0786896,57.3986511,1,Seagrass,-8.21
216,269034.0686,6131747.98,3,2160,2.16,216,202.8035583,252.9196777,54.7893867,1,Seagrass,-8.21
217,269024.4268,6131745.328,3,2170,2.17,217,174.9104919,231.2989044,57.8581924,1,Seagrass,-8.21
218,269014.785,6131742.676,3,2180,2.18,218,116.1616974,109.9198227,56.2289429,1,Seagrass,-8.21
219,269005.1431,6131740.023,3,2190,2.19,219,74.5258255,72.9513702,55.0305786,1,Seagrass,-8.21
220,268995.5013,6131737.371,3,2200,2.2,220,58.6066628,78.3314896,48.5233841,1,Seagrass,-8.21
221,268985.8595,6131734.718,3,2210,2.21,221,86.7702103,89.1673431,48,1,Seagrass,-8.21
222,268976.2177,6131732.066,3,2220,2.22,222,120.6105423,127.728035,48,1,Seagrass,-8.21
223,268966.5759,6131729.414,3,2230,2.23,223,105.4669647,121.2277679,48.4706039,1,Seagrass,-8.21
224,268956.9341,6131726.761,3,2240,2.24,224,88.4993362,107.2815781,50.8175125,1,Seagrass,-8.21
225,268947.2922,6131724.109,3,2250,2.25,225,144.212265,155.3252411,53.0790291,1,Seagrass,-8.21
226,268937.6504,6131721.456,3,2260,2.26,226,201.4563141,207.6752472,59.3755112,1,Seagrass,-8.21
